GAME_ID,TEAM_ID,FIRST_SHOT_TYPE,FIRST_SHOT_TIME_SEC,FIRST_MINUTE_BASKETS,FIRST_MINUTE_POINTS
0022500001,1610612745,3PT,24.0,1,2
0022500001,1610612760,2PT,,1,3
0022500002,1610612744,3PT,,1,0
0022500002,1610612747,2PT,21.0,1,2
0022500003,1610612739,2PT,15.0,1,2
0022500003,1610612752,3PT,,1,3
0022500004,1610612742,2PT,16.0,1,2
0022500004,1610612759,2PT,,1,2
0022500005,1610612754,2PT,,0,0
0022500005,1610612760,3PT,21.0,1,1
0022500006,1610612743,3PT,,0,0
0022500006,1610612744,3PT,14.0,2,5
0022500007,1610612739,2PT,17.0,2,4
0022500007,1610612765,2PT,,2,5
0022500008,1610612743,2PT,,1,3
0022500008,1610612750,3PT,20.0,1,2
0022500009,1610612739,3PT,,0,0
0022500009,1610612752,2PT,30.0,0,0
0022500010,1610612759,3PT,,1,2
0022500010,1610612760,2PT,15.0,2,4
0022500011,1610612742,2PT,,0,0
0022500011,1610612744,2PT,5.0,1,2
0022500012,1610612745,2PT,21.0,1,3
0022500012,1610612747,2PT,,0,0
0022500013,1610612743,3PT,,1,3
0022500013,1610612750,2PT,25.0,0,0
0022500018,1610612738,3PT,20.0,2,6
0022500018,1610612752,3PT,,0,0
0022500019,1610612747,3PT,,0,0
0022500019,1610612750,3PT,16.0,2,4
0022500020,1610612737,2PT,20.0,1,2
0022500020,1610612754,2PT,,0,0
0022500021,1610612738,3PT,20.0,2,4
0022500021,1610612755,3PT,,0,0
0022500022,1610612739,3PT,,1,2
0022500022,1610612761,2PT,24.0,0,0
0022500023,1610612741,2PT,,0,0
0022500023,1610612752,2PT,19.0,1,3
0022500024,1610612747,3PT,15.0,0,0
0022500024,1610612763,2PT,,1,1
0022500025,1610612756,3PT,,1,2
0022500025,1610612762,3PT,16.0,0,0
0022500026,1610612743,2PT,,0,0
0022500026,1610612757,3PT,22.0,0,0
0022500027,1610612740,3PT,14.0,2,5
